risk,zip,latitude,longitude,facility_type,dba_name,address,neighborhood
Risk 3 (Low),60608.0,41.832860537,-87.6463014951,other,34th st coffe house,3364 s halsted st ,Bridgeport
Risk 3 (Low),60618.0,41.9609799226,-87.7163215975,other,3517 cafe,3517 w montrose ave ,Irving Park
Risk 1 (High),60618.0,41.9455601045,-87.7076465323,other,3521 grill inc,3521 n kedzie ave ,Avondale
Risk 3 (Low),60609.0,41.8301250664,-87.6657058222,grocery store,"35th & ashland oil, inc.",3510 s ashland ave ,Mckinley Park
Risk 3 (Low),60616.0,41.8311882029,-87.6197094434,other,"35th street grill, inc.",252 e 35th st ,Douglas
Risk 2 (Medium),60616.0,41.8309544339,-87.6388668987,restaurant,35th street redhots,500 w 35th st ,Bridgeport
Risk 2 (Medium),60611.0,41.8989485417,-87.6239749877,restaurant,360 chicago,875 n michigan ave ,Magnificent Mile
Risk 2 (Medium),60613.0,41.9486836744,-87.6436497585,grocery store,3600 commissary,3600 n lake shore dr ,Lake View
Risk 2 (Medium),60613.0,41.9483976735,-87.654217415,restaurant,3639 llc,3639 n sheffield ave ,Lake View
Risk 3 (Low),60612.0,41.8820662604,-87.706007211,grocery store,37 n kedzie food mart,37 n kedzie ave ,Garfield Park
Risk 2 (Medium),60647.0,41.9100517498,-87.7213157801,other,"3756-58 w. north, inc.",3756-3758 w north ave ,Humboldt Park
Risk 1 (High),60707.0,41.9124438902,-87.8057409946,children's services facility,38 little angels home daycare,1759 n harlem ave ,Galewood
Risk 1 (High),60618.0,41.9507166851,-87.6882244222,restaurant,3811 piramid inc,3811 n western ave ,North Center
Risk 3 (Low),60618.0,41.953514002,-87.7190177667,grocery store,"3976 n elston, inc.",3976 n elston ave ,Irving Park
Risk 1 (High),60649.0,41.7586888232,-87.5829504559,restaurant,3gs bbq restaurant,1713 e 75th st ,South Shore
Risk 3 (Low),60628.0,41.7072122002,-87.613366812,other,3jjj's better taste jamaican jerk restaurant,409 e 103rd st ,Roseland
Risk 3 (Low),60621.0,41.7689891344,-87.6297141744,grocery store,4 & 1 candy store,6901 s wentworth ave ,Grand Crossing
Risk 2 (Medium),60621.0,41.7689324114,-87.6297150256,restaurant,4 & 1 candy store,6903 s wentworth ave ,Grand Crossing
Risk 1 (High),60639.0,41.9243499158,-87.7462435909,restaurant,4 - caminos,4758 w fullerton ave bldg ,Belmont Cragin
Risk 1 (High),60639.0,41.9243499158,-87.7462435909,restaurant,4 banderas,4758 w fullerton ave bldg ,Belmont Cragin
Risk 3 (Low),60620.0,41.7438695831,-87.6537048277,grocery store,4 brothers discount store,8238 s racine ave ,Auburn Gresham
Risk 3 (Low),60644.0,41.8803916092,-87.7450012321,grocery store,4 brothers food mart corp.,4755 w madison st ,Austin
Risk 1 (High),60619.0,41.751036875,-87.6133144114,daycare combo 1586,"4 ever young day care,inc.",441 e 79th st ,Chatham
Risk 1 (High),60630.0,41.976534052,-87.768327467,restaurant,4 hermanos,5239 n central ave ,Jefferson Park
Risk 1 (High),60646.0,42.01189725,-87.7810187745,restaurant,4 hermanos too,6145 w touhy ave ,"Sauganash,Forest Glen"
Risk 1 (High),60623.0,41.8519328608,-87.7218327953,other,4 sisters restaurant,3853 w ogden ave ,North Lawndale
Risk 1 (High),60647.0,41.9247107306,-87.6960715831,restaurant,4 suyos,2727 w fullerton ave ,Logan Square
Risk 1 (High),60707.0,41.9288833266,-87.8062800712,restaurant,"4 yolks,inc.",2659-2661 n harlem ave ,Montclare
Risk 1 (High),60657.0,41.9340597878,-87.6637641481,restaurant,404 wine bar,2852-2856 n southport ave ,Lake View
Risk 1 (High),60614.0,41.9313505084,-87.6441211843,restaurant,40s tf healthy mediterranean cuisine,2665 n clark st ,Lincoln Park
Risk 3 (Low),60617.0,41.7224493374,-87.5681010868,other,40th acre cafe,2263 e 95 th st ,South Deering
Risk 1 (High),60640.0,41.9619503027,-87.654603376,daycare combo 1586,418 family childcare center,4405-4407 n sheridan rd ,Uptown
Risk 3 (Low),60640.0,41.9669566989,-87.6586314732,restaurant,42 grams,4662 n broadway ,Uptown
Risk 1 (High),60625.0,41.9632284015,-87.685190443,restaurant,42 n latitude,4500 n lincoln ave ,Lincoln Square
Risk 3 (Low),60632.0,41.8076584994,-87.7317553314,grocery store,4319 citgo inc.,4319 w 47th st ,Archer Heights
Risk 1 (High),60632.0,41.8139143113,-87.7236649419,grocery store,4343 petes fresh market,4343 s pulaski rd ,Archer Heights
Risk 1 (High),60611.0,41.8903721391,-87.6251814939,restaurant,437 rush,437 n rush st ,Streeterville
Risk 3 (Low),60609.0,41.8163945337,-87.6313400898,grocery store,43rd dan ryan citgo,4300-4312 s wentworth ave ,Fuller Park
Risk 3 (Low),60609.0,41.8165043469,-87.6330076597,grocery store,43rd food & more,246 w 43rd st ,Fuller Park
Risk 3 (Low),60653.0,41.8167867857,-87.6143961948,other,43rd st. food pantry,452 e 43rd st ,Grand Boulevard
Risk 2 (Medium),60638.0,41.8111803126,-87.7433985178,grocery store,"45th & cicero, inc.",4500 s cicero ave ,Garfield Ridge
Risk 3 (Low),60609.0,41.8086537069,-87.6711900451,grocery store,47 mini mart,1834 w 47th st ,New City
Risk 1 (High),60632.0,41.8080472717,-87.7041188223,grocery store,4700 pete's fresh market,4700 s kedzie ave ,Brighton Park
Risk 3 (Low),60625.0,41.9679140725,-87.7134983128,other,4744 corp,4744 n kimball ave ,Albany Park
Risk 3 (Low),60609.0,41.8086204581,-87.6746280126,grocery store,47th &  damen marthon,1958 w 47th st ,New City
Risk 3 (Low),60632.0,41.8083687042,-87.6943541287,grocery store,47th & california shell,4658 s california ave ,Brighton Park
Risk 3 (Low),60632.0,41.8083687042,-87.6943541287,grocery store,47th california shell,4658 s california ave ,Brighton Park
Risk 3 (Low),60609.0,41.808684248,-87.6680964522,grocery store,47th dollar food & mart,1714 w 47th st ,New City
Risk 3 (Low),60609.0,41.8085090952,-87.6638772582,grocery store,47th food & tobacco,1535 w 47th st ,New City
Risk 3 (Low),60619.0,41.7514028051,-87.6046733387,grocery store,47th food & tobacco,812 e 79th st ,Grand Crossing
Risk 3 (Low),60609.0,41.8085090952,-87.6638772582,grocery store,"47th grocery,inc",1535 w 47th st ,New City
Risk 3 (Low),60630.0,41.9702088717,-87.728231999,other,4902 n. pulaski klokcafe,4902 n pulaski rd ,Albany Park
Risk 3 (Low),60655.0,41.6926820901,-87.7007191247,other,49er's s.a.c.,11023 s kedzie ave ,Mount Greenwood
Risk 1 (High),60617.0,41.7389007481,-87.5858379229,restaurant,4js,8554 s stony island ave ,Avalon Park
Risk 3 (Low),60656.0,41.980205242,-87.8033156854,other,4plus1,7021 w higgins ave ,Norwood Park
Risk 2 (Medium),60610.0,41.9105780788,-87.6384281114,restaurant,5 boroughs pizza & subs,1543 n sedgwick st bldg ,Old Town
Risk 1 (High),60610.0,41.9105780788,-87.6384281114,restaurant,5 boroughs pizza company,1543 n sedgwick st bldg ,Old Town
Risk 2 (Medium),60619.0,41.7329530229,-87.6048797999,grocery store,5 brothers market,8900 s cottage grove ave ,Chatham
Risk 1 (High),60649.0,41.7659282254,-87.5672971898,other,5 loaves eatery,2343 e 71st st ,South Shore
Risk 1 (High),60639.0,41.9092479751,-87.7671577845,children's services facility,5 pea's in a pod learning academy llc.,5635 w north ave ,Austin
